-5,-5,25,25,25,1
-5,-4,25,16,20,1
-5,-3,25,9,15,1
-5,-2,25,4,10,1
-5,-1,25,1,5,1
-5,0,25,0,-0,1
-5,1,25,1,-5,1
-5,2,25,4,-10,1
-5,3,25,9,-15,1
-5,4,25,16,-20,1
-5,5,25,25,-25,1
-4,-5,16,25,20,1
-4,-4,16,16,16,1
-4,-3,16,9,12,1
-4,-2,16,4,8,1
-4,-1,16,1,4,1
-4,0,16,0,-0,0
-4,1,16,1,-4,1
-4,2,16,4,-8,1
-4,3,16,9,-12,1
-4,4,16,16,-16,1
-4,5,16,25,-20,1
-3,-5,9,25,15,1
-3,-4,9,16,12,1
-3,-3,9,9,9,1
-3,-2,9,4,6,0
-3,-1,9,1,3,0
-3,0,9,0,-0,0
-3,1,9,1,-3,0
-3,2,9,4,-6,0
-3,3,9,9,-9,1
-3,4,9,16,-12,1
-3,5,9,25,-15,1
-2,-5,4,25,10,1
-2,-4,4,16,8,1
-2,-3,4,9,6,0
-2,-2,4,4,4,0
-2,-1,4,1,2,0
-2,0,4,0,-0,0
-2,1,4,1,-2,0
-2,2,4,4,-4,0
-2,3,4,9,-6,0
-2,4,4,16,-8,1
-2,5,4,25,-10,1
-1,-5,1,25,5,1
-1,-4,1,16,4,1
-1,-3,1,9,3,0
-1,-2,1,4,2,0
-1,-1,1,1,1,0
-1,0,1,0,-0,0
-1,1,1,1,-1,0
-1,2,1,4,-2,0
-1,3,1,9,-3,0
-1,4,1,16,-4,1
-1,5,1,25,-5,1
0,-5,0,25,-0,1
0,-4,0,16,-0,0
0,-3,0,9,-0,0
0,-2,0,4,-0,0
0,-1,0,1,-0,0
0,0,0,0,0,0
0,1,0,1,0,0
0,2,0,4,0,0
0,3,0,9,0,0
0,4,0,16,0,0
0,5,0,25,0,1
1,-5,1,25,-5,1
1,-4,1,16,-4,1
1,-3,1,9,-3,0
1,-2,1,4,-2,0
1,-1,1,1,-1,0
1,0,1,0,0,0
1,1,1,1,1,0
1,2,1,4,2,0
1,3,1,9,3,0
1,4,1,16,4,1
1,5,1,25,5,1
2,-5,4,25,-10,1
2,-4,4,16,-8,1
2,-3,4,9,-6,0
2,-2,4,4,-4,0
2,-1,4,1,-2,0
2,0,4,0,0,0
2,1,4,1,2,0
2,2,4,4,4,0
2,3,4,9,6,0
2,4,4,16,8,1
2,5,4,25,10,1
3,-5,9,25,-15,1
3,-4,9,16,-12,1
3,-3,9,9,-9,1
3,-2,9,4,-6,0
3,-1,9,1,-3,0
3,0,9,0,0,0
3,1,9,1,3,0
3,2,9,4,6,0
3,3,9,9,9,1
3,4,9,16,12,1
3,5,9,25,15,1
4,-5,16,25,-20,1
4,-4,16,16,-16,1
4,-3,16,9,-12,1
4,-2,16,4,-8,1
4,-1,16,1,-4,1
4,0,16,0,0,0
4,1,16,1,4,1
4,2,16,4,8,1
4,3,16,9,12,1
4,4,16,16,16,1
4,5,16,25,20,1
5,-5,25,25,-25,1
5,-4,25,16,-20,1
5,-3,25,9,-15,1
5,-2,25,4,-10,1
5,-1,25,1,-5,1
5,0,25,0,0,1
5,1,25,1,5,1
5,2,25,4,10,1
5,3,25,9,15,1
5,4,25,16,20,1
5,5,25,25,25,1
